test_name,risc0_proving_time_s,risc0_proving_time_ms,risc0_proof_size_kb,risc0_proof_size_bytes,risc0_peak_memory_gb,risc0_peak_memory_bytes,sp1_proving_time_s,sp1_proving_time_ms,sp1_proof_size_kb,sp1_proof_size_bytes,sp1_peak_memory_gb,sp1_peak_memory_bytes,time_speedup,time_diff_s,proof_size_ratio,proof_size_diff_kb,memory_ratio,memory_diff_gb,time_winner,proof_size_winner,memory_winner
test_worst_blocks.py::test_block_full_access_list_and_data[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test],19.21,19210.0,218.419921875,223662.0,620.8203125,666600734720.0,80.486,80486.0,1442.6357421875,1477259.0,335.75390625,360513011712.0,0.23867504907685808,-61.276,0.15140337611752577,-1224.2158203125,1.8490337742719858,285.06640625,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_data[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-zero_byte_False],15.2,15200.0,218.419921875,223662.0,712.6953125,765250764800.0,69.079,69079.0,1442.6357421875,1477259.0,373.25390625,400778330112.0,0.22003792759015042,-53.87899999999999,0.15140337611752577,-1224.2158203125,1.9094115307734973,339.44140625,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_data[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-zero_byte_True],19.526,19526.0,218.419921875,223662.0,638.1640625,685223444480.0,81.77,81770.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.23879173290937997,-62.244,0.15140337611752577,-1224.2158203125,1.4152185588800914,187.234375,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_of_ether_transfers[fork_Prague-benchmark-gas-value_1M-blockchain_test-case_id_a_to_a],47.668,47668.0,218.419921875,223662.0,668.6328125,717939015680.0,112.897,112897.0,1442.6357421875,1477259.0,451.3984375,484685381632.0,0.42222556843848813,-65.22900000000001,0.15140337611752577,-1224.2158203125,1.48124751207186,217.234375,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_of_ether_transfers[fork_Prague-benchmark-gas-value_1M-blockchain_test-case_id_a_to_b],46.269,46269.0,218.419921875,223662.0,698.6328125,750151270400.0,108.345,108345.0,1442.6357421875,1477259.0,474.8359375,509851205632.0,0.4270524712723245,-62.076,0.15140337611752577,-1224.2158203125,1.4713141052008094,223.796875,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_of_ether_transfers[fork_Prague-benchmark-gas-value_1M-blockchain_test-case_id_a_to_diff_acc],47.856,47856.0,218.419921875,223662.0,613.3203125,658547671040.0,115.388,115388.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.4147398342981939,-67.53200000000001,0.15140337611752577,-1224.2158203125,1.360124049273203,162.390625,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_of_ether_transfers[fork_Prague-benchmark-gas-value_1M-blockchain_test-case_id_diff_acc_to_b],49.608,49608.0,218.419921875,223662.0,698.6328125,750151270400.0,112.159,112159.0,1442.6357421875,1477259.0,418.5859375,449453228032.0,0.44230066245241123,-62.55100000000001,0.15140337611752577,-1224.2158203125,1.6690307769835198,280.046875,RISC0,RISC0,SP1
test_worst_blocks.py::test_block_full_of_ether_transfers[fork_Prague-benchmark-gas-value_1M-blockchain_test-case_id_diff_acc_to_diff_acc],50.297,50297.0,218.419921875,223662.0,513.4765625,551341260800.0,108.191,108191.0,1442.6357421875,1477259.0,522.6484375,561189486592.0,0.4648907949829468,-57.894000000000005,0.15140337611752577,-1224.2158203125,0.982451157715362,-9.171875,RISC0,RISC0,RISC0
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_CALLCODE],280.231,280231.0,218.419921875,223662.0,668.6328125,717939015680.0,800.369,800369.0,1442.6357421875,1477259.0,450.4609375,483678748672.0,0.3501272538041828,-520.138,0.15140337611752577,-1224.2158203125,1.484330286685513,218.171875,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_CALL],277.656,277656.0,218.419921875,223662.0,613.3203125,658547671040.0,816.87,816870.0,1442.6357421875,1477259.0,371.37890625,398765064192.0,0.3399023100370928,-539.2139999999999,0.15140337611752577,-1224.2158203125,1.6514678194650427,241.94140625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_DELEGATECALL],274.75,274750.0,218.419921875,223662.0,669.5703125,718945648640.0,818.827,818827.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.33554096286517177,-544.077,0.15140337611752577,-1224.2158203125,1.4848663351755922,218.640625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_EXTCODECOPY],266.757,266757.0,218.419921875,223662.0,677.5390625,727502028800.0,786.473,786473.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.3391813832134098,-519.7159999999999,0.15140337611752577,-1224.2158203125,1.508811913916387,228.484375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_EXTCODEHASH],275.184,275184.0,218.419921875,223662.0,670.0390625,719448965120.0,791.095,791095.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.3478520278853994,-515.9110000000001,0.15140337611752577,-1224.2158203125,1.4859058542247787,219.109375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_EXTCODESIZE],275.949,275949.0,218.419921875,223662.0,361.1328125,387763404800.0,790.58,790580.0,1442.6357421875,1477259.0,449.9921875,483175432192.0,0.3490462698272155,-514.6310000000001,0.15140337611752577,-1224.2158203125,0.8025312939460755,-88.859375,RISC0,RISC0,RISC0
test_worst_bytecode.py::test_worst_bytecode_single_opcode[fork_Prague-benchmark-gas-value_1M-blockchain_test-opcode_STATICCALL],275.203,275203.0,218.419921875,223662.0,665.8203125,714919116800.0,803.007,803007.0,1442.6357421875,1477259.0,479.9921875,515387686912.0,0.3427155678593088,-527.804,0.15140337611752577,-1224.2158203125,1.3871482283240286,185.828125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes with value-opcode_CREATE2],16.248,16248.0,218.419921875,223662.0,640.5078125,687740026880.0,73.375,73375.0,1442.6357421875,1477259.0,500.1484375,537030295552.0,0.22143781942078367,-57.126999999999995,0.15140337611752577,-1224.2158203125,1.2806354363548322,140.359375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes with value-opcode_CREATE],15.975,15975.0,218.419921875,223662.0,628.7890625,675157114880.0,72.183,72183.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.22131249740243544,-56.208000000000006,0.15140337611752577,-1224.2158203125,1.3944281778963599,177.859375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes without value-opcode_CREATE2],15.901,15901.0,218.419921875,223662.0,638.1640625,685223444480.0,74.964,74964.0,1442.6357421875,1477259.0,476.7109375,511864471552.0,0.21211514860466357,-59.063,0.15140337611752577,-1224.2158203125,1.338681394319802,161.453125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0 bytes without value-opcode_CREATE],16.383,16383.0,218.419921875,223662.0,295.9765625,317802414080.0,75.027,75027.0,1442.6357421875,1477259.0,479.5234375,514884370432.0,0.2183613898996361,-58.644000000000005,0.15140337611752577,-1224.2158203125,0.6172306489190114,-183.546875,RISC0,RISC0,RISC0
